lat,lon,grid_group,frp,brightness,brightness_ti5,temp_delta_ti4_ti5,confidence,is_night,facility_distance_m,facility_type_encoded,landcover_encoded,nearby_cluster_count_3km,historical_recurrence_1_5km,historical_mean_frp,frp_z_score,days_since_last_detection,target
28.46369853057699,77.57956515628658,28.5_77.6,9.26,317.27,304.54,12.73,0.898,0,6417.0,0,1,6,2,8.71,0.66,25.3,3
31.361113990742947,77.34292853829986,31.4_77.3,152.23,347.22,323.63,23.59,0.867,1,7701.1,0,2,12,2,64.92,2.06,238.8,2
28.47573623990506,77.3751041240746,28.5_77.4,89.33,350.2,327.79,22.41,0.874,1,3.5,1,0,2,1,50.53,2.86,22.5,0
28.67429274892547,77.3337411767895,28.7_77.3,68.77,335.23,316.93,18.3,0.882,1,11748.0,0,2,13,2,31.68,2.78,215.3,2
28.520398033405435,77.65355055489704,28.5_77.7,50.17,344.72,323.76,20.95,0.821,0,6134.1,0,2,12,2,37.83,0.82,48.3,2
28.564722726307707,76.96603529830631,28.6_77.0,7.47,312.35,303.3,9.05,0.547,0,16537.4,0,1,7,3,6.17,0.24,21.8,3
31.08892538714307,77.2149640068013,31.1_77.2,48.68,370.79,339.09,31.7,0.863,1,444.9,2,0,1,2,26.53,3.46,57.9,0
28.549253592480994,77.35536337780563,28.5_77.4,8.66,325.22,314.44,10.78,0.812,0,7395.9,0,1,9,1,6.95,0.53,55.4,3
30.83677086819747,77.24645911572487,30.8_77.2,11.5,327.54,317.15,10.39,0.81,0,15064.8,0,1,8,1,11.28,0.63,63.9,3
22.347005714757817,73.53658819132546,22.3_73.5,81.33,321.99,297.45,24.54,0.932,0,198.5,3,0,2,2,28.58,2.94,55.2,0
28.54996535134409,77.4097413495029,28.5_77.4,20.11,337.03,302.41,34.62,0.911,1,35.1,1,0,2,13,22.57,0.24,2.7,1
29.950035597268126,75.89103795880129,30.0_75.9,3.8,301.54,283.07,18.47,0.661,0,12373.4,0,1,8,2,3.36,0.51,17.6,3
30.13755906064073,75.94611625962831,30.1_75.9,16.64,323.05,309.23,13.82,0.661,0,8731.2,0,1,6,3,16.85,0.42,86.4,3
30.08060912122126,75.42893673974814,30.1_75.4,12.74,340.28,323.82,16.46,0.761,0,5785.7,0,1,8,4,12.63,0.63,152.4,3
21.88868500900277,84.09048657535263,21.9_84.1,53.17,352.2,324.78,27.42,0.784,1,4934.1,0,2,12,1,26.43,1.77,242.6,2
28.795757636927476,77.31534621097734,28.8_77.3,10.33,323.17,313.42,9.75,0.739,0,19827.3,0,1,7,1,8.62,0.38,19.0,3
29.727832256123392,75.40802046795264,29.7_75.4,34.42,347.43,326.83,20.6,0.734,1,1.3,2,0,1,4,16.52,2.11,40.5,0
21.81453812552863,83.9936433523694,21.8_84.0,3.42,295.0,288.61,6.39,0.31,1,10683.5,7,5,2,0,3.97,0.24,12.6,5
28.563674428538434,77.65932363384128,28.6_77.7,24.49,314.75,301.4,13.35,0.747,0,2725.0,0,1,8,0,20.75,0.32,50.2,3
29.353538797893883,76.39481347571899,29.4_76.4,13.55,333.49,307.92,25.57,0.702,0,544.9,6,3,3,3,11.54,0.27,24.6,4
29.040832011035736,76.54291675759438,29.0_76.5,7.8,311.15,301.63,9.53,0.496,0,10225.3,0,5,0,1,9.96,0.28,73.3,5
29.937137934286273,75.84483185067062,29.9_75.8,26.2,343.3,303.16,40.14,0.913,1,34.2,1,0,2,10,24.67,0.46,0.8,1
28.392117725130415,77.23255634529856,28.4_77.2,84.54,369.95,348.48,21.46,0.96,0,15103.9,0,2,11,0,42.42,2.77,39.0,2
22.328646382075245,73.36704925258195,22.3_73.4,18.73,302.0,291.93,10.08,0.219,0,3937.4,8,5,2,1,19.73,0.18,108.2,5
22.391061386197563,73.05173758799525,22.4_73.1,11.77,307.19,295.29,11.91,0.688,0,14699.4,0,1,11,2,11.51,0.26,167.8,3
28.27623406847983,77.13374281604194,28.3_77.1,7.86,313.53,309.29,4.24,0.425,0,7271.7,0,5,1,1,8.43,0.02,63.1,5
31.166587519378226,77.08917248782048,31.2_77.1,21.13,367.79,327.4,40.39,0.93,1,76.7,1,0,1,20,20.8,0.15,0.2,1
29.91989103333043,76.02696507333383,29.9_76.0,23.17,318.91,308.13,10.78,0.811,0,546.8,6,3,5,8,21.6,0.4,27.7,4
21.694154625056456,83.93508474598657,21.7_83.9,7.34,317.35,297.68,19.68,0.834,0,7570.9,0,1,12,4,8.19,0.65,47.7,3
21.775200925184453,84.0399945292798,21.8_84.0,9.1,309.78,304.26,5.51,0.436,1,9040.1,0,5,1,1,11.83,0.08,38.3,5
28.756804758148256,77.33970898100284,28.8_77.3,27.38,384.41,364.67,19.74,0.753,1,752.7,1,0,2,2,11.84,2.07,47.4,0
29.24022583231302,76.71274032084531,29.2_76.7,19.62,361.14,311.81,49.33,0.968,0,357.9,2,0,2,20,19.67,0.46,1.3,1
29.058804678013562,76.40598628317457,29.1_76.4,58.84,336.24,300.24,35.99,0.924,1,6914.1,0,2,10,2,31.54,2.74,255.2,2
22.014648174939513,73.43894742051658,22.0_73.4,6.54,315.52,306.37,9.15,0.588,0,15613.9,0,1,5,2,6.11,0.86,139.6,3
28.885343567038404,76.46036203678364,28.9_76.5,28.95,337.2,315.11,22.09,0.793,1,1331.2,6,3,6,5,24.04,0.93,12.0,4
22.04879505098316,73.09265737813821,22.0_73.1,21.11,345.65,310.48,35.17,0.936,1,32.4,1,0,2,13,18.88,0.59,2.9,1
22.163327103053224,73.43645912121566,22.2_73.4,11.17,305.01,290.71,14.3,0.867,0,19074.7,0,1,3,3,13.37,0.78,41.7,3
28.924009566599413,76.48428121246579,28.9_76.5,37.22,342.21,309.82,32.39,0.706,0,129.9,5,0,2,2,20.43,1.55,84.3,0
28.322513079376826,77.38644731863442,28.3_77.4,45.14,362.64,337.51,25.14,0.966,1,24839.7,0,2,12,0,20.73,1.11,221.6,2
22.26141725560407,73.27266330544765,22.3_73.3,13.98,320.21,307.1,13.11,0.725,0,4212.5,0,1,8,4,16.08,0.46,47.0,3
