frp,brightness,brightness_ti5,temp_delta_ti4_ti5,confidence,is_night,facility_distance_m,facility_type_encoded,persistence_score,anomaly_score,cluster_density_3km,historical_recurrence,target
12.33,362.41,334.56,27.84,0.87,1,53.2,3,0.978,0.311,3,8,1
45.14,370.39,340.91,29.49,0.894,1,287.4,1,0.976,0.252,2,8,1
11.87,367.61,337.53,30.09,0.895,1,151.5,1,0.734,0.465,2,10,1
8.8,327.42,312.52,14.9,0.74,0,11993.9,0,0.183,0.3,4,4,2
13.9,329.78,315.86,13.92,0.784,0,4003.7,0,0.127,0.169,13,3,2
42.92,380.87,342.8,38.06,0.946,1,1.7,2,0.945,0.479,4,8,1
20.09,349.02,317.97,31.05,0.883,1,26.1,3,0.908,0.509,5,11,1
22.47,335.64,318.09,17.55,0.968,0,236.4,3,0.435,0.84,4,2,0
10.01,309.18,293.23,15.94,0.716,1,4813.7,0,0.238,0.339,9,1,2
7.97,299.27,290.74,8.53,0.678,0,11725.8,0,0.058,0.12,6,0,2
14.21,365.82,343.82,22.0,1.0,1,330.4,2,0.902,0.353,2,15,1
26.94,318.16,303.64,14.52,0.629,0,6770.4,0,0.149,0.231,7,3,2
22.92,326.85,304.24,22.61,0.885,0,11491.9,0,0.208,0.271,4,2,2
9.1,330.36,324.18,6.18,0.866,0,6816.6,0,0.059,0.381,7,2,2
3.95,307.1,295.76,11.34,0.52,0,7407.2,0,0.079,0.307,7,1,2
13.94,301.14,284.1,17.04,0.547,1,8686.8,0,0.131,0.227,7,1,2
4.44,306.31,297.22,9.1,0.554,0,1877.7,0,0.293,0.37,1,0,5
5.72,322.3,306.96,15.34,0.734,0,7187.7,0,0.065,0.383,8,0,2
18.07,322.04,319.24,2.8,0.781,0,1771.6,0,0.085,0.416,9,0,2
14.44,354.85,320.59,34.27,0.872,1,61.1,1,0.704,0.398,2,12,1
12.29,329.18,315.11,14.07,0.572,0,7987.2,0,0.24,0.149,8,2,2
17.79,331.73,312.7,19.03,0.872,1,1515.9,7,0.726,0.61,4,4,3
44.74,386.94,364.21,22.73,0.799,1,9418.8,0,0.443,0.913,17,1,4
5.68,317.59,313.47,4.12,0.236,0,906.3,0,0.057,0.325,0,1,5
51.19,331.05,309.25,21.8,0.845,1,46.4,1,0.187,0.971,3,1,0
10.09,319.61,307.87,11.74,0.653,0,6826.5,0,0.09,0.244,5,2,2
11.04,297.32,290.32,6.99,0.348,1,3815.6,0,0.052,0.262,1,1,5
6.49,319.15,312.58,6.57,0.896,0,9833.4,0,0.079,0.409,7,3,2
38.36,377.43,362.67,14.76,0.843,1,88.5,5,0.23,0.869,5,0,0
4.85,305.99,289.72,16.27,0.781,0,6527.2,0,0.092,0.401,6,0,2
32.1,329.37,312.16,17.21,0.795,1,32.3,5,0.375,0.833,3,1,0
7.76,313.9,310.5,3.4,0.428,1,3151.3,0,0.177,0.102,0,1,5
81.83,355.53,332.21,23.32,0.951,1,10745.5,0,0.218,0.651,11,2,4
22.12,316.24,276.27,39.96,0.966,1,58.2,1,0.912,0.402,1,16,1
57.7,334.49,322.04,12.44,0.765,0,18944.6,0,0.458,0.918,13,2,4
83.98,335.32,313.46,21.87,0.915,0,110.0,1,0.212,0.729,2,3,0
20.73,334.68,319.83,14.86,0.802,1,566.3,4,0.4,0.509,5,6,3
6.8,325.59,324.14,1.45,0.635,0,2688.7,0,0.217,0.366,9,1,2
88.1,382.63,352.7,29.93,0.777,1,33.5,7,0.056,0.835,4,2,0
55.54,366.98,330.1,36.88,0.89,0,413.3,2,0.252,0.717,4,0,0
14.41,341.73,333.63,8.1,0.658,0,10449.2,0,0.1,0.375,5,3,2
28.73,359.41,332.14,27.28,0.951,0,51.3,1,0.737,0.315,2,16,1
23.89,349.09,331.05,18.03,0.619,0,1131.2,6,0.699,0.491,2,2,3
14.24,317.32,303.74,13.58,0.824,0,10669.1,0,0.239,0.142,9,0,2
25.36,315.23,304.99,10.24,0.608,0,2771.1,0,0.145,0.352,9,2,2
12.74,333.9,308.97,24.93,0.639,0,135.6,7,0.508,0.533,7,3,3
65.67,353.11,331.68,21.44,0.811,1,62.6,2,0.216,0.733,4,0,0
88.01,336.5,312.93,23.57,0.996,1,11396.0,0,0.238,0.824,15,3,4
14.12,291.8,272.38,19.42,0.721,0,10595.8,0,0.023,0.285,10,2,2
70.92,363.61,338.77,24.84,0.832,1,10458.3,0,0.121,0.661,13,1,4
10.12,317.65,307.1,10.56,0.811,0,10631.0,0,0.218,0.109,7,3,2
5.27,308.14,288.84,19.3,0.7,0,11193.7,0,0.123,0.147,7,2,2
7.29,330.54,325.19,5.35,0.742,0,3131.8,0,0.056,0.188,7,3,2
68.15,374.88,340.94,33.94,0.941,0,17987.0,0,0.192,0.749,13,2,4
91.76,330.67,307.12,23.55,0.985,0,741.7,5,0.314,0.906,1,0,0
2.07,301.34,298.88,2.46,0.47,1,4679.6,7,0.254,0.244,0,1,5
6.47,363.76,331.91,31.84,0.954,0,248.7,1,0.849,0.253,1,11,1
59.35,370.59,345.73,24.86,0.998,1,15407.6,0,0.242,0.786,14,0,4
5.34,311.79,308.57,3.22,0.48,0,2576.8,8,0.186,0.12,1,0,5
45.98,345.03,331.65,13.37,0.827,0,79.8,1,0.132,0.752,7,2,0
35.59,327.91,310.82,17.09,0.632,1,1378.4,6,0.756,0.456,4,6,3
16.42,338.5,304.04,34.46,0.905,0,162.9,1,0.855,0.509,1,16,1
61.26,348.33,320.61,27.72,0.824,1,75.9,1,0.449,0.91,3,0,0
12.13,321.35,308.81,12.54,0.622,0,7445.5,0,0.1,0.329,6,2,2
3.33,322.69,311.01,11.68,0.694,0,7001.1,0,0.06,0.175,8,2,2
2.08,315.66,307.6,8.06,0.434,0,5443.1,8,0.01,0.126,0,1,5
49.75,350.35,322.26,28.09,0.807,1,11290.3,0,0.28,0.88,12,2,4
22.16,328.44,310.51,17.93,0.843,0,1547.5,7,0.667,0.622,2,5,3
19.69,341.18,312.94,28.24,0.848,1,93.4,1,0.686,0.472,3,12,1
6.38,325.74,316.6,9.14,0.713,0,3718.8,0,0.083,0.312,7,2,2
19.59,303.15,283.65,19.5,0.803,0,4739.3,0,0.11,0.373,8,1,2
49.67,364.6,341.86,22.74,0.744,1,11.5,1,0.28,0.858,4,0,0
10.76,319.32,307.84,11.48,0.773,0,13023.5,0,0.139,0.355,8,0,2
5.65,321.41,306.2,15.21,0.541,0,10806.0,0,0.16,0.159,7,0,2
8.26,316.46,309.73,6.73,0.393,0,1034.5,0,0.196,0.248,1,0,5
18.53,332.56,296.81,35.75,0.973,0,26.2,1,0.853,0.26,1,10,1
34.81,342.5,330.86,11.64,0.977,1,2.5,2,0.378,0.918,3,3,0
20.56,324.07,301.26,22.81,0.614,0,136.4,6,0.528,0.673,3,4,3
20.23,333.28,290.97,42.31,0.875,1,182.2,1,0.716,0.413,4,15,1
24.03,319.58,306.85,12.74,0.887,0,1598.9,0,0.072,0.256,8,4,2
128.13,380.82,356.8,24.02,0.973,1,6437.8,0,0.447,0.781,13,1,4
25.8,315.16,303.52,11.64,0.839,0,5623.2,0,0.022,0.158,4,1,2
52.35,329.75,285.85,43.9,0.963,1,59.0,1,0.4,0.748,2,2,0
17.26,318.45,304.0,14.44,0.566,1,11067.1,0,0.106,0.211,8,1,2
35.33,381.8,362.65,19.15,0.847,1,142.5,2,0.42,0.902,2,3,0
62.13,346.2,315.35,30.86,0.986,1,10957.1,0,0.243,0.654,12,1,4
23.24,316.27,303.86,12.41,0.618,0,405.8,6,0.63,0.526,4,3,3
15.71,339.74,323.04,16.71,0.56,0,6704.1,0,0.038,0.278,7,3,2
35.99,341.7,298.13,43.57,0.893,0,177.8,1,0.868,0.333,1,17,1
48.32,353.13,322.2,30.93,0.769,0,68.1,1,0.159,0.759,3,2,0
7.98,328.95,314.95,14.0,0.78,0,11451.6,0,0.248,0.314,5,2,2
14.95,313.42,305.81,7.61,0.611,1,4340.9,0,0.229,0.332,7,3,2
26.26,318.14,289.18,28.96,0.721,1,34.2,1,0.075,0.776,4,3,0
92.55,342.35,311.11,31.24,0.854,1,13210.0,0,0.468,0.864,16,2,4
43.15,313.83,285.13,28.7,0.999,1,94.5,2,0.216,0.949,7,0,0
41.39,354.22,338.11,16.11,0.902,0,25.8,3,0.135,0.94,1,0,0
46.68,361.64,326.17,35.47,0.87,0,28.3,3,0.246,0.727,4,1,0
45.51,369.94,335.41,34.53,0.936,1,6501.6,0,0.152,0.934,12,1,4
60.63,371.78,336.87,34.91,0.98,1,3316.5,0,0.201,0.677,13,0,4
23.66,313.72,301.76,11.96,0.614,0,12074.4,0,0.12,0.376,6,1,2
28.75,337.57,298.29,39.29,0.88,0,117.6,3,0.223,0.89,3,1,0
42.85,356.12,323.78,32.33,0.802,0,361.2,1,0.422,0.834,4,1,0
5.01,319.58,307.64,11.94,0.583,0,7797.4,0,0.191,0.223,9,2,2
1.67,316.59,305.1,11.49,0.282,0,5363.8,0,0.197,0.306,0,0,5
65.5,352.0,323.01,28.99,0.848,0,13289.5,0,0.496,0.654,17,1,4
17.89,325.84,312.66,13.18,0.574,0,4795.4,0,0.223,0.106,4,0,2
10.77,301.74,294.32,7.42,0.841,0,4020.7,0,0.027,0.136,10,1,2
49.7,373.0,333.47,39.54,0.909,1,52.6,2,0.621,0.407,2,13,1
4.57,314.41,305.8,8.61,0.591,0,10067.5,0,0.03,0.355,6,2,2
65.9,381.57,340.69,40.88,0.807,1,90.7,2,0.614,0.405,1,14,1
68.36,350.24,309.54,40.7,0.857,0,228.3,1,0.279,0.86,3,1,0
39.47,347.85,323.24,24.61,0.739,0,291.0,4,0.566,0.544,6,2,3
14.87,352.63,316.76,35.87,0.986,1,170.4,1,0.952,0.212,1,11,1
63.8,340.6,313.0,27.61,0.946,1,42.8,1,0.315,0.97,4,2,0
6.93,318.28,303.66,14.62,0.658,1,11342.3,0,0.139,0.351,8,5,2
12.45,304.94,286.91,18.03,0.794,0,9070.8,0,0.036,0.425,5,1,2
6.01,305.35,300.59,4.76,0.233,0,3699.8,7,0.089,0.371,1,0,5
49.29,313.76,291.63,22.13,0.98,0,57.6,7,0.081,0.871,4,1,0
42.74,345.63,321.59,24.05,0.712,1,42.4,1,0.398,0.909,2,1,0
32.68,348.07,326.0,22.06,0.63,0,169.1,7,0.668,0.688,8,7,3
20.19,343.53,312.28,31.25,0.972,0,222.5,1,0.955,0.277,1,10,1
55.23,338.03,320.5,17.53,0.842,1,10659.5,0,0.185,0.73,10,1,4
99.8,354.81,323.9,30.91,0.846,1,16556.4,0,0.411,0.815,11,1,4
15.1,374.77,335.38,39.39,0.89,0,19.7,1,0.936,0.266,4,17,1
10.39,329.44,311.22,18.21,0.898,1,621.6,6,0.484,0.694,5,4,3
13.26,345.37,302.2,43.18,0.975,1,24.1,1,0.611,0.309,3,15,1
24.35,352.92,323.54,29.38,0.897,1,102.0,1,0.665,0.502,3,13,1
4.11,294.29,285.12,9.17,0.6,1,4238.1,7,0.191,0.052,2,1,5
11.89,314.92,301.85,13.08,0.568,0,10328.2,0,0.061,0.11,10,0,2
12.17,326.97,312.54,14.43,0.654,0,4714.1,0,0.105,0.113,4,2,2
41.37,340.55,328.91,11.64,0.73,0,182.0,7,0.503,0.56,4,6,3
38.94,345.05,309.19,35.85,0.968,1,10.2,5,0.065,0.803,2,1,0
17.74,308.86,293.25,15.61,0.583,0,11269.9,0,0.068,0.25,8,0,2
98.1,362.06,334.12,27.95,0.979,1,23065.8,0,0.323,0.946,13,4,4
14.54,335.79,318.84,16.96,0.61,1,4381.5,0,0.106,0.199,6,1,2
43.88,364.08,351.3,12.78,0.803,1,239.1,7,0.495,0.639,6,2,3
37.9,353.96,311.85,42.11,0.828,0,56.9,1,0.632,0.436,2,14,1
91.67,352.37,322.09,30.28,0.995,0,9477.0,0,0.277,0.702,12,0,4
21.79,323.93,317.8,6.14,0.719,0,3368.9,0,0.234,0.25,4,1,2
88.54,369.82,323.07,46.75,0.998,1,6580.3,0,0.415,0.929,10,1,4
72.84,354.64,339.19,15.45,0.869,1,21152.1,0,0.488,0.782,15,0,4
90.95,350.67,324.48,26.18,0.95,0,15652.3,0,0.146,0.831,13,0,4
6.72,323.2,310.08,13.12,0.684,0,4492.8,0,0.082,0.278,8,1,2
90.25,374.01,351.44,22.57,0.849,0,18238.0,0,0.439,0.68,14,0,4
36.44,369.49,323.28,46.2,0.816,1,76.1,1,0.927,0.208,2,9,1
13.81,363.67,337.8,25.87,0.823,0,4.4,3,0.83,0.327,4,6,1
39.43,333.0,291.67,41.33,0.983,0,184.7,5,0.274,0.771,2,1,0
27.13,335.62,303.57,32.04,0.922,1,280.4,1,0.877,0.428,3,13,1
168.67,379.4,354.92,24.48,0.983,0,15114.3,0,0.189,0.855,12,2,4
9.88,331.24,322.96,8.27,0.636,1,9950.3,0,0.098,0.318,5,1,2
16.01,363.24,345.63,17.61,0.938,0,17.1,1,0.798,0.488,3,12,1
12.79,313.38,307.27,6.11,0.561,0,2777.6,0,0.214,0.207,8,0,2
6.64,319.85,310.55,9.31,0.736,0,10039.4,0,0.133,0.178,3,3,2
19.12,322.89,310.03,12.86,0.759,0,7923.8,0,0.214,0.132,6,2,2
21.16,325.43,312.56,12.87,0.738,0,11196.3,0,0.026,0.375,10,0,2
18.76,333.21,296.5,36.71,0.903,1,242.0,3,0.784,0.344,3,7,1
84.33,395.15,361.98,33.17,0.912,0,21577.0,0,0.357,0.785,12,1,4
63.25,362.23,324.3,37.93,0.949,1,9796.4,0,0.288,0.692,13,1,4
41.67,343.01,313.76,29.25,0.862,0,149.8,2,0.069,0.947,3,0,0
37.84,340.87,320.79,20.08,0.95,1,37.0,2,0.421,0.717,2,1,0
64.44,371.39,331.92,39.48,0.983,0,6215.5,0,0.19,0.707,12,2,4
1.38,315.25,312.09,3.16,0.509,0,7742.1,0,0.249,0.285,1,1,5
29.96,350.83,326.62,24.22,0.985,1,179.9,2,0.167,0.792,5,1,0
13.12,358.42,315.4,43.02,0.914,0,26.8,1,0.786,0.456,2,11,1
15.11,309.42,299.51,9.91,0.706,0,5359.9,0,0.211,0.341,9,2,2
42.04,348.69,308.12,40.57,0.908,1,27.6,1,0.763,0.262,2,16,1
11.09,300.88,277.47,23.41,0.645,1,1195.2,7,0.458,0.693,3,4,3
45.66,312.48,293.9,18.57,0.712,1,574.9,6,0.692,0.426,4,4,3
4.23,333.2,325.93,7.28,0.556,1,4482.4,0,0.204,0.241,2,0,5
28.49,323.84,309.16,14.67,0.627,0,2178.9,7,0.793,0.395,2,7,3
13.49,311.29,299.5,11.8,0.542,0,3975.9,0,0.098,0.323,7,2,2
46.52,340.2,318.15,22.05,0.796,1,198.8,2,0.445,0.743,3,1,0
82.94,359.33,328.04,31.29,0.746,1,45.8,1,0.265,0.866,2,1,0
